period_id,metric_version,source_class,rule_version,tag_id,tag_name,tag_dimension,theme_id,theme_label,display_order,event_count,content_count,active_brand_count,likes_valid_count,likes_missing_count,likes_sum,likes_mean,likes_median,likes_p75,likes_p90,likes_max,top_content_id,sample_flag,snapshot_age_hours_min,snapshot_age_hours_median,snapshot_age_hours_max,pending_event_count,review_status,metric_scope
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,collaboration-miffy,米菲,联名领域/IP,collaboration,联名合作,106,1,2,1,2,0,2151,1075.5,1075.5,1377.75,1559.1,1680,xhs-6a603293000000001303c324,small_sample,106.9,118.8,130.7,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,collaboration-sanrio,三丽鸥,联名领域/IP,collaboration,联名合作,107,1,1,1,1,0,1065,1065,1065,1065,1065,1065,xhs-6a6215dc000000000f02ba74,small_sample,96.4,96.4,96.4,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,collaboration-spider-man,蜘蛛侠,联名领域/IP,collaboration,联名合作,108,1,18,1,18,0,18570,1031.67,478.5,1223.5,2606.6,4144,xhs-6a61f537000000000100dc0c,sufficient_for_descriptive_stats,5.4,75.5,124,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,brand-new-format,新店型,业务动作,brand_event,品牌事件,201,3,3,2,3,0,3288,1096,1336,1438,1499.2,1540,xhs-6a61793b000000001303cc49,small_sample,74.7,97.9,107.5,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,brand-ugc,UGC互动,业务动作,brand_event,品牌事件,202,3,3,2,3,0,1560,520,499,713,841.4,927,xhs-6a61e507000000000402ba3a,small_sample,6.9,8.2,99.8,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,brand-offline-event,联名线下活动,业务动作,brand_event,品牌事件,203,2,2,2,2,0,2352,1176,1176,1231.5,1264.8,1287,xhs-6a6434730000000001032781,small_sample,57.7,77.05,96.4,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,brand-seasonal,节日营销,业务动作,brand_event,品牌事件,204,2,3,2,3,0,2020,673.33,363,848.5,1139.8,1334,xhs-6a65cc04000000000402ac45,small_sample,28.5,28.7,106.2,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,brand-corporate-legal,企业/法律/公共事务,业务动作,brand_event,品牌事件,205,1,1,1,1,0,37000,37000,37000,37000,37000,37000,xhs-6a66d7e7000000001101fb64,small_sample,9.6,9.6,9.6,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,brand-person,人物传播,业务动作,brand_event,品牌事件,206,1,1,1,1,0,5053,5053,5053,5053,5053,5053,xhs-6a606392000000000503bacc,small_sample,127.1,127.1,127.1,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,brand-supply-chain,原料/产区/供应链,业务动作,brand_event,品牌事件,207,1,1,1,1,0,3730,3730,3730,3730,3730,3730,xhs-6a61b9b8000000000a03a23a,small_sample,102.8,102.8,102.8,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,brand-store-channel,门店渠道,业务动作,brand_event,品牌事件,208,1,1,1,1,0,257,257,257,257,257,257,xhs-6a6329c0000000000101deac,small_sample,76.7,76.7,76.7,0,approved,品牌事实层；标签间可重叠
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product-routine-promotion,常规产品传播,业务动作,product_action,产品动作,99,1,1,1,1,0,321,321,321,321,321,321,xhs-6a659d4d000000000101d9e3,small_sample,32.1,32.1,32.1,0,approved,品牌事实层；标签间可重叠
