period_id,dimension_type,dimension_id,dimension_name,metric_id,metric_value,source_class,metric_version
2026-W30,tag,product-yogurt,酸奶,likes_valid_count,14,brand,bi-metric-v1.2
2026-W30,tag,product-yogurt,酸奶,likes_median,922,brand,bi-metric-v1.2
2026-W30,tag,product-yogurt,酸奶,likes_p75,2348.25,brand,bi-metric-v1.2
2026-W30,tag,product-passion-fruit,百香果,event_count,3,brand,bi-metric-v1.2
2026-W30,tag,product-passion-fruit,百香果,content_count,10,brand,bi-metric-v1.2
2026-W30,tag,product-passion-fruit,百香果,active_brand_count,3,brand,bi-metric-v1.2
2026-W30,tag,product-passion-fruit,百香果,likes_valid_count,10,brand,bi-metric-v1.2
2026-W30,tag,product-passion-fruit,百香果,likes_median,471.5,brand,bi-metric-v1.2
2026-W30,tag,product-passion-fruit,百香果,likes_p75,1025.75,brand,bi-metric-v1.2
2026-W30,tag,product-series-launch,系列上新,event_count,3,brand,bi-metric-v1.2
2026-W30,tag,product-series-launch,系列上新,content_count,10,brand,bi-metric-v1.2
2026-W30,tag,product-series-launch,系列上新,active_brand_count,3,brand,bi-metric-v1.2
2026-W30,tag,product-series-launch,系列上新,likes_valid_count,10,brand,bi-metric-v1.2
2026-W30,tag,product-series-launch,系列上新,likes_median,659,brand,bi-metric-v1.2
2026-W30,tag,product-series-launch,系列上新,likes_p75,1003.75,brand,bi-metric-v1.2
2026-W30,tag,product-pineapple,菠萝,event_count,2,brand,bi-metric-v1.2
2026-W30,tag,product-pineapple,菠萝,content_count,25,brand,bi-metric-v1.2
2026-W30,tag,product-pineapple,菠萝,active_brand_count,2,brand,bi-metric-v1.2
2026-W30,tag,product-pineapple,菠萝,likes_valid_count,25,brand,bi-metric-v1.2
2026-W30,tag,product-pineapple,菠萝,likes_median,545,brand,bi-metric-v1.2
2026-W30,tag,product-pineapple,菠萝,likes_p75,1207,brand,bi-metric-v1.2
2026-W30,tag,collaboration-product-bundle,联名产品或套餐,event_count,5,brand,bi-metric-v1.2
2026-W30,tag,collaboration-product-bundle,联名产品或套餐,content_count,39,brand,bi-metric-v1.2
2026-W30,tag,collaboration-product-bundle,联名产品或套餐,active_brand_count,4,brand,bi-metric-v1.2
2026-W30,tag,collaboration-product-bundle,联名产品或套餐,likes_valid_count,39,brand,bi-metric-v1.2
2026-W30,tag,collaboration-product-bundle,联名产品或套餐,likes_median,754,brand,bi-metric-v1.2
2026-W30,tag,collaboration-product-bundle,联名产品或套餐,likes_p75,1218,brand,bi-metric-v1.2
2026-W30,tag,collaboration-offline-event,联名线下活动,event_count,2,brand,bi-metric-v1.2
2026-W30,tag,collaboration-offline-event,联名线下活动,content_count,2,brand,bi-metric-v1.2
2026-W30,tag,collaboration-offline-event,联名线下活动,active_brand_count,2,brand,bi-metric-v1.2
2026-W30,tag,collaboration-offline-event,联名线下活动,likes_valid_count,2,brand,bi-metric-v1.2
2026-W30,tag,collaboration-offline-event,联名线下活动,likes_median,1176,brand,bi-metric-v1.2
2026-W30,tag,collaboration-offline-event,联名线下活动,likes_p75,1231.5,brand,bi-metric-v1.2
2026-W30,tag,collaboration-duolingo,多邻国,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-duolingo,多邻国,content_count,2,brand,bi-metric-v1.2
2026-W30,tag,collaboration-duolingo,多邻国,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-duolingo,多邻国,likes_valid_count,2,brand,bi-metric-v1.2
